PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1998,41.75,-73.25,-1.32,-0.7,2.38,8.12,15.16,17.97,21.09,22.25,18.32,10.49,4.01,1.27,9.98
T2M,1998,41.75,-73.75,-1.26,-0.55,2.56,8.38,15.64,18.16,21.08,22.35,18.45,10.49,3.91,1.08,10.08
T2M,1998,41.75,-74.25,-1.72,-1.31,1.73,7.63,15.17,17.41,20.11,21.15,17.59,9.81,3.28,0.61,9.35
T2M,1998,41.75,-74.75,-1.97,-1.78,1.24,7.23,15.02,17.03,19.52,20.47,17.08,9.46,2.97,0.27,8.94
T2M,1998,41.75,-75.25,-1.94,-1.95,1.1,7.16,15.06,16.96,19.24,20.23,16.91,9.32,2.9,0.21,8.83
T2M,1999,39.75,-72.25,6.33,5.66,6.04,8.74,13.01,18.95,22.89,23.31,21.33,16.82,13.28,9.78,13.89
T2M,1999,39.75,-72.75,5.79,5.22,5.72,8.58,12.97,18.9,23.04,23.3,21.1,16.51,12.95,9.22,13.66
T2M,1999,39.75,-73.25,5.08,4.68,5.33,8.62,13.19,19.02,23.32,23.35,20.91,16.23,12.54,8.44,13.44
T2M,1999,39.75,-73.75,4.15,3.96,4.91,8.85,13.72,19.4,23.83,23.5,20.8,15.75,11.94,7.31,13.23
T2M,1999,39.75,-74.25,2.55,2.79,4.3,9.42,14.95,20.44,25.32,23.83,20.32,14.17,10.51,4.99,12.86
T2M,1999,39.75,-74.75,1.4,2.06,3.89,9.88,15.78,21.35,26.6,24.29,19.92,12.87,9.43,3.4,12.63
T2M,1999,39.75,-75.25,0.71,1.66,3.61,10.12,16.2,22.04,27.22,24.59,19.63,12.08,8.85,2.55,12.49
T2M,1999,40.25,-72.25,5.02,4.48,5.08,8.19,12.65,18.47,22.52,22.76,20.78,16.0,12.34,8.44,13.11
T2M,1999,40.25,-72.75,4.46,4.02,4.83,8.39,13.0,18.83,23.02,22.89,20.66,15.72,11.99,7.8,13.02
T2M,1999,40.25,-73.25,3.65,3.45,4.5,8.63,13.53,19.37,23.77,23.18,20.54,15.25,11.46,6.86,12.9
T2M,1999,40.25,-73.75,2.74,2.94,4.25,8.86,14.09,19.95,24.56,23.48,20.35,14.56,10.78,5.76,12.75
T2M,1999,40.25,-74.25,1.09,1.78,3.64,9.26,15.09,21.1,26.15,23.78,19.73,12.8,9.3,3.48,12.32
T2M,1999,40.25,-74.75,0.0,1.05,3.18,9.44,15.55,21.72,26.92,23.91,19.24,11.67,8.37,2.13,11.99
T2M,1999,40.25,-75.25,-0.73,0.59,2.77,9.44,15.76,22.05,27.07,23.9,18.88,11.0,7.86,1.42,11.72
T2M,1999,40.75,-72.25,3.13,2.88,4.07,8.18,13.06,18.75,22.86,22.53,20.22,14.78,11.09,6.38,12.38
T2M,1999,40.75,-72.75,2.4,2.3,3.78,8.44,13.62,19.42,23.69,22.82,20.16,14.38,10.62,5.56,12.32
T2M,1999,40.75,-73.25,1.57,1.77,3.47,8.67,14.17,20.15,24.6,23.15,20.0,13.76,10.0,4.62,12.22
T2M,1999,40.75,-73.75,0.42,1.3,3.25,8.83,14.66,21.0,25.62,23.44,19.59,12.6,8.99,3.23,11.97
T2M,1999,40.75,-74.25,-0.85,0.46,2.63,8.85,15.0,21.6,26.32,23.38,18.95,11.26,7.9,1.71,11.49
T2M,1999,40.75,-74.75,-1.74,-0.19,2.08,8.7,15.07,21.66,26.38,23.12,18.46,10.42,7.22,0.85,11.06
T2M,1999,40.75,-75.25,-2.42,-0.64,1.55,8.44,15.05,21.48,26.06,22.78,18.05,9.84,6.75,0.3,10.66
T2M,1999,41.25,-72.25,0.51,0.9,2.86,8.27,14.01,19.96,24.09,22.49,19.42,12.68,9.11,3.39,11.53
T2M,1999,41.25,-72.75,-0.28,0.41,2.55,8.36,14.39,20.51,24.67,22.65,19.27,12.12,8.59,2.6,11.38
T2M,1999,41.25,-73.25,-1.08,-0.03,2.22,8.35,14.6,20.89,25.06,22.68,18.98,11.48,8.0,1.85,11.14
T2M,1999,41.25,-73.75,-2.08,-0.4,1.98,8.37,14.83,21.48,25.74,22.85,18.64,10.53,7.15,0.77,10.88
T2M,1999,41.25,-74.25,-2.92,-0.93,1.37,8.05,14.6,21.36,25.53,22.47,18.11,9.75,6.47,-0.01,10.38
T2M,1999,41.25,-74.75,-3.49,-1.36,0.79,7.7,14.43,21.02,25.17,22.04,17.72,9.22,6.06,-0.48,9.96
T2M,1999,41.25,-75.25,-4.01,-1.74,0.21,7.28,14.22,20.54,24.6,21.52,17.31,8.78,5.74,-0.87,9.52
T2M,1999,41.75,-72.25,-1.98,-0.79,1.68,8.0,14.61,21.0,24.79,22.19,18.62,10.5,7.21,0.79,10.61
T2M,1999,41.75,-72.75,-2.67,-1.15,1.35,7.83,14.61,21.05,24.72,22.03,18.36,9.97,6.73,0.2,10.31
T2M,1999,41.75,-73.25,-3.46,-1.57,0.91,7.51,14.42,20.81,24.46,21.71,17.97,9.37,6.15,-0.43,9.88
T2M,1999,41.75,-73.75,-3.8,-1.49,0.94,7.6,14.52,21.04,24.76,21.96,18.05,9.23,5.99,-0.55,9.91
T2M,1999,41.75,-74.25,-4.66,-2.15,-0.08,6.81,13.74,20.19,23.8,21.03,17.21,8.47,5.26,-1.38,9.07
T2M,1999,41.75,-74.75,-5.11,-2.51,-0.79,6.34,13.45,19.7,23.26,20.56,16.85,8.01,4.93,-1.82,8.63
T2M,1999,41.75,-75.25,-5.31,-2.63,-1.09,6.14,13.45,19.54,23.08,20.39,16.75,7.86,4.91,-1.96,8.48
T2M,2000,39.75,-72.25,5.42,6.18,7.84,9.39,14.01,17.73,21.55,22.5,20.21,15.68,10.6,5.65,13.09
T2M,2000,39.75,-72.75,4.74,5.57,7.39,9.02,13.8,17.79,21.7,22.47,19.98,15.48,10.38,5.09,12.81
T2M,2000,39.75,-73.25,3.83,4.76,6.99,8.85,13.87,18.14,21.88,22.49,19.8,15.33,10.04,4.39,12.56
T2M,2000,39.75,-73.75,2.65,3.84,6.71,8.92,14.48,18.94,22.03,22.51,19.69,15.12,9.4,3.37,12.33
T2M,2000,39.75,-74.25,0.48,2.49,6.97,9.44,15.69,20.41,22.18,22.38,19.07,14.02,7.64,1.04,11.84
T2M,2000,39.75,-74.75,-0.97,1.49,7.2,9.79,16.41,21.28,22.29,22.22,18.54,13.2,6.46,-0.6,11.47
T2M,2000,39.75,-75.25,-1.66,0.92,7.24,9.91,16.73,21.63,22.4,22.26,18.26,12.83,5.9,-1.47,11.27
T2M,2000,40.25,-72.25,3.87,4.8,6.52,8.39,13.11,17.15,21.03,21.79,19.43,14.89,9.93,4.55,12.14
T2M,2000,40.25,-72.75,3.11,4.14,6.35,8.28,13.29,17.59,21.33,21.93,19.4,14.8,9.67,3.87,12.0
T2M,2000,40.25,-73.25,2.11,3.31,6.24,8.37,13.74,18.3,21.65,22.1,19.37,14.63,9.15,2.96,11.85
T2M,2000,40.25,-73.75,1.04,2.5,6.16,8.58,14.46,19.19,21.89,22.14,19.23,14.33,8.44,1.96,11.69
